export,problem1,problem2,sectors,growth_level,rdpercentage,workersincrease,workers,school,major,years,experience,debtratio,turnover,gaintorevenue,gainincrease,capital,IES,profit,investment,patent,patent_global,technique,development,marketing,brands,howmarket,goods
0,2,4,IT,growing,0,1.195652174,110,3,business,3,0,0.6114904,4.040314894,-0.279226221,1.582134398,4359.183,0.002125482,-4990.331,466,0,0,4,3,4,0,both,3
10,4,2,IT,growing,0.654545455,1,110,2,humanities,1,1,0.311776622,3.437513356,0.278030575,1.77681098,11759.337,0.004684575,10339.485,535,0,0,4,3,4,0,both,3
2,6,5,IT,growing,0.512820513,1,195,3,engineer,7,0,0.483550341,1.486943044,0.029406374,0.94710018,8935.314,0.012256081,99.883,840,4,0,3,4,3,0,both,3
3,2,5,IT,growing,0.773584906,1,371,5,engineer,5,0,0.484842195,7.618380396,0.041460792,1.154835984,5268.744,0.001803569,1335.473,264,0,0,4,4,3,0,both,3
0,6,3,IT,growing,0.695238095,1,105,3,naturalschience,4,0,0.557765465,3.185698974,0.055548428,1.289371435,9955.02,0.009277979,1332.021,472,0,0,2,4,3,0,direct,1
0,2,5,IT,growing,0.175925926,1.069306931,108,3,engineer,4,0,0.293303544,1.32112003,0.018718064,1.278131676,9862.06,0.062951278,833.725,941,4,0,3,3,3,0,both,3
0,8,3,IT,highgrow,0.0390625,1,128,3,business,3,0,0.097897868,0.507699902,0.354607429,1.211872257,97472.148,0.000892504,12106.85,1597,4,0,3,4,3,1,direct,2
0,3,5,IT,highgrow,0.169354839,1,124,3,business,1,0,0.540171954,0.849918877,-0.109759491,0.36151261,48886.581,0.028536068,-7296.394,2875,0,0,3,4,3,0,indirect,2
0,6,1,IT,highgrow,0.767515924,1,314,3,other,2,1,0.204512308,0.567937335,0.054522802,1.430469771,62928.543,0.042296068,2706.201,1550,0,0,4,4,3,2,indirect,2
0,2,5,IT,highgrow,0.496598639,1.157480315,147,3,other,3,0,0.316543605,1.148003864,0.031883143,1.199570033,36112.672,0.000892481,1774.276,6144,0,0,3,3,4,0,both,1
0,2,1,IT,highgrow,0.132183908,1,174,3,engineer,2,0,0.163818939,1.186436631,-0.108129157,1.005745599,10760.498,-0.005404707,-1489.549,588,1,0,4,3,4,0,indirect,2
